XMass SMass resolvable
200 70 true
300 70 true
300 100 true
300 170 true
400 70 true
400 100 true
400 170 true
400 200 true
400 250 true
750 70 true
750 100 true
750 170 true
750 200 true
750 250 true
750 300 true
750 400 true
750 500 true
1000 70 true
1000 100 true
1000 170 true
1000 200 true
1000 250 true
1000 300 true
1000 400 true
1000 500 true
1000 750 true
1500 70 true
1500 100 true
1500 170 true
1500 200 true
1500 250 true
1500 300 true
1500 400 true
1500 500 true
1500 750 true
1500 1000 true
2000 70 true
2000 100 true
2000 170 true
2000 200 true
2000 250 true
2000 300 true
2000 400 true
2000 500 true
2000 750 true
2000 1000 true
2000 1500 true
2500 70 true
2500 100 true
2500 170 true
2500 200 true
2500 250 true
2500 300 true
2500 400 true
2500 500 true
2500 750 true
2500 1000 true
2500 1500 true
2500 2000 true
