XMass SMass resolvable
900 60 true
900 70 true
900 80 true
900 90 true
900 100 true
900 125 false
1000 60 true
1000 70 true
1000 80 true
1000 90 true
1000 100 true
1000 125 false
1000 150 true
1000 200 true
1100 60 true
1100 70 true
1100 80 true
1100 90 true
1100 100 true
1100 125 false
1100 150 true
1100 200 true
1100 250 true
1100 300 true
1200 60 true
1200 70 true
1200 80 true
1200 90 true
1200 100 true
1200 125 false
1200 150 true
1200 200 true
1200 250 true
1200 300 true
1200 350 true
1200 400 true
1300 60 true
1300 70 true
1300 80 true
1300 90 true
1300 100 true
1300 125 false
1300 150 true
1300 200 true
1300 250 true
1300 300 true
1300 350 true
1300 400 true
1300 450 true
1300 500 true
1400 60 true
1400 70 true
1400 80 true
1400 90 true
1400 100 true
1400 125 false
1400 150 true
1400 200 true
1400 250 true
1400 300 true
1400 350 true
1400 400 true
1400 450 true
1400 500 true
1400 600 true
1500 60 true
1500 70 true
1500 80 true
1500 90 true
1500 100 true
1500 125 false
1500 150 true
1500 200 true
1500 250 true
1500 300 true
1500 350 true
1500 400 true
1500 450 true
1500 500 true
1500 600 true
1600 60 true
1600 70 true
1600 80 true
1600 90 true
1600 100 true
1600 125 false
1600 150 true
1600 200 true
1600 250 true
1600 300 true
1600 350 true
1600 400 true
1600 450 true
1600 500 true
1600 600 true
1700 60 true
1700 70 true
1700 80 true
1700 90 true
1700 100 true
1700 125 false
1700 150 true
1700 200 true
1700 250 true
1700 300 true
1700 350 true
1700 400 true
1700 450 true
1700 500 true
1700 600 true
1800 60 true
1800 70 true
1800 80 true
1800 90 true
1800 100 true
1800 125 false
1800 150 true
1800 200 true
1800 250 true
1800 300 true
1800 350 true
1800 400 true
1800 450 true
1800 500 true
1800 600 true
1900 60 true
1900 70 true
1900 80 true
1900 90 true
1900 100 true
1900 125 false
1900 150 true
1900 200 true
1900 250 true
1900 300 true
1900 350 true
1900 400 true
1900 450 true
1900 500 true
1900 600 true
2000 60 true
2000 70 true
2000 80 true
2000 90 true
2000 100 true
2000 125 false
2000 150 true
2000 200 true
2000 250 true
2000 300 true
2000 350 true
2000 400 true
2000 450 true
2000 500 true
2000 600 true
2200 60 true
2200 70 true
2200 80 true
2200 90 true
2200 100 true
2200 125 false
2200 150 true
2200 200 true
2200 250 true
2200 300 true
2200 350 true
2200 400 true
2200 450 true
2200 500 true
2200 600 true
2400 60 true
2400 70 true
2400 80 true
2400 90 true
2400 100 true
2400 125 false
2400 150 true
2400 200 true
2400 250 true
2400 300 true
2400 350 true
2400 400 true
2400 450 true
2400 500 true
2400 600 true
2600 60 true
2600 70 true
2600 80 true
2600 90 true
2600 100 true
2600 125 false
2600 150 true
2600 200 true
2600 250 true
2600 300 true
2600 350 true
2600 400 true
2600 450 true
2600 500 true
2600 600 true
2800 60 true
2800 70 true
2800 80 true
2800 90 true
2800 100 true
2800 125 false
2800 150 true
2800 200 true
2800 250 true
2800 300 true
2800 350 true
2800 400 true
2800 450 true
2800 500 true
2800 600 true
