XMass SMass resolvable
170 30  true
177	30  true
177	40	true
180	50	true
185	30	true
185	40	true
185	50	true
190	15	true
190	50	true
195	30	true
195	40	true
195	50	true
195	60	true
200	15	true
200	70	true
205	30	true
205	40	true
205	50	true
205	60	true
205	70	true
210	15	true
210	70	true
215	30	true
215	40	true
215	50	true
215	60	true
215	70	true
215	80	true
220	15	true
220	90	true
225	30	true
225	40	true
225	50	true
225	60	true
225	70	true
225	80	true
225	90	true
230	15	true
230	90	true
230	100	true
235	30	true
235	40	true
235	50	true
235	60	true
235	70	true
235	80	true
235	90	true
240	15	true
240	100	true
240	110	true
245	30	true
245	40	true
245	50	true
245	60	true
245	70	true
245	80	true
245	90	true
250	15	true
250	100	true
250	110	true
260	30	true
260	50	true
260	70	true
260	90	true
260	110	true
275	30	true
275	50	true
275	70	true
275	90	true
275	110	true
275	145	true
287	30	true
287	50	true
287	70	true
287	90	true
287	110	true
287	157	true
300	30	true
300	50	true
300	70	true
300	90	true
300	110	true
300	150	true
300	170	true
325	30	true
325	50	true
325	70	true
325	90	true
325	110	true
325	150	true
325	170	true
325	185	true
350	30	true
350	50	true
350	70	true
350	90	true
350	110	true
350	150	true
350	170	true
350	185	true
350	200	true
375	30	true
375	50	true
375	70	true
375	90	true
375	110	true
375	150	true
375	170	true
375	185	true
375	200	true
375	225	true
400	30	true
400	50	true
400	70	true
400	90	true
400	110	true
400	150	true
400	170	true
400	185	true
400	200	true
400	225	true
400	250	true
425	30	true
425	50	true
425	70	true
425	90	true
425	110	true
425	150	true
425	170	true
425	185	true
425	200	true
425	225	true
425	250	true
450	30	true
450	50	true
450	70	true
450	90	true
450	110	true
450	150	true
450	170	true
450	185	true
450	200	true
450	225	true
450	250	true
450	275	true
475	30	true
475	50	true
475	70	true
475	90	true
475	110	true
475	150	true
475	170	true
475	185	true
475	200	true
475	225	true
475	250	true
475	275	true
475	300	true
500	30	true
500	50	true
500	70	true
500	90	true
500	110	true
500	150	true
500	170	true
500	185	true
500	200	true
500	225	true
500	250	true
500	275	true
500	300	true
500	325	true
525	40	true
525	50	true
525	70	true
525	90	true
525	110	true
525	150	true
525	170	true
525	185	true
525	200	true
525	225	true
525	250	true
525	275	true
525	300	true
525	325	true
550	40	true
550	50	true
550	70	true
550	90	true
550	110	true
550	150	true
550	170	true
550	185	true
550	200	true
550	225	true
550	250	true
550	275	true
550	300	true
550	325	true
550	350	true
575	40	true
575	50	true
575	70	true
575	90	true
575	110	true
575	150	true
575	170	true
575	185	true
575	200	true
575	225	true
575	250	true
575	275	true
575	300	true
575	325	true
575	350	true
575	375	true
600	40	true
600	50	true
600	70	true
600	90	true
600	110	true
600	150	true
600	170	true
600	185	true
600	200	true
600	225	true
600	250	true
600	275	true
600	300	true
600	325	true
600	350	true
600	375	true
600	400	true
650	50	true
650	70	true
650	90	true
650	110	true
650	150	true
650	170	true
650	185	true
650	200	true
650	250	true
650	300	true
650	350	true
650	400	true
700	50	true
700	70	true
700	90	true
700	110	true
700	150	true
700	170	true
700	185	true
700	200	true
700	250	true
700	300	true
700	350	true
700	400	true
700	450	true
750	50	true
750	70	true
750	90	true
750	110	true
750	150	true
750	170	true
750	185	true
750	200	true
750	250	true
750	300	true
750	350	true
750	400	true
750	450	true
750	500	true
800	70	true
800	90	true
800	110	true
800	150	true
800	170	true
800	185	true
800	200	true
800	250	true
800	300	true
800	350	true
800	400	true
800	450	true
800	500	true
850	70	true
850	90	true
850	110	true
850	150	true
850	170	true
850	185	true
850	200	true
850	250	true
850	300	true
850	350	true
850	400	true
850	450	true
850	500	true
900	70	true
900	90	true
900	110	true
900	150	true
900	170	true
900	185	true
900	200	true
900	250	true
900	300	true
900	350	true
900	400	true
900	450	true
900	500	true
950	70	true
950	90	true
950	110	true
950	150	true
950	170	true
950	185	true
950	200	true
950	250	true
950	300	true
950	350	true
950	400	true
950	450	true
950	500	true
1000	70	true
1000	90	true
1000	110	true
1000	150	true
1000	170	true
1000	185	true
1000	200	true
1000	250	true
1000	300	true
1000	350	true
1000	400	true
1000	450	true
1000    500	true
