XMass SMass resolvable
300 90  true
300 100 true
300 150 true
350 90  true
350 100 true
350 150 true
400 90  true
400 100 true
400 150 true
400 200 true
400 250 true
450 90  true
450 100 true
450 150 true
450 200 true
450 250 true
500 90  true
500 100 true
500 150 true
500 200 true
500 250 true
500 300 true
550 90  true
550 100 true
550 150 true
550 200 true
550 250 true
550 300 true
600 90  true
600 100 true
600 150 true
600 200 true
600 250 true
600 300 true
600 400 true
650 90  true
650 100 true
650 150 true
650 200 true
650 250 true
650 300 true
650 400 true
700 90  true
700 100 true
700 150 true
700 200 true
700 250 true
700 300 true
700 400 true
700 500 true
750 90  true
750 100 true
750 150 true
750 200 true
750 250 true
750 300 true
750 400 true
750 500 true
800 90  true
800 100 true
800 150 true
800 200 true
800 250 true
800 300 true
800 400 true
800 500 true
800 600 true
850 90  true
850 100 true
850 150 true
850 200 true
850 250 true
850 300 true
850 400 true
850 500 true
850 600 true
900 90  true
900 100 true
900 150 true
900 200 true
900 250 true
900 300 true
900 400 true
900 500 true
900 600 true
900 700 true
950 90  true
950 100 true
950 150 true
950 200 true
950 250 true
950 300 true
950 400 true
950 500 true
950 600 true
950 700 true
1000    90  true
1000    100 true
1000    150 true
1000    200 true
1000    250 true
1000    300 true
1000    400 true
1000    500 true
1000    600 true
1000    700 true
1000    800 true
