# comment out any masses you don't want with #
#XMass SMass
170 30
200 30
200 70
300 30
300 70
300 100
300 170
500 30
500 70
500 100
500 170
500 300
750 100
750 170
750 300
750 500
1000 100
1000 170
1000 300
1000 500
1000 750
2000 100
2000 170
2000 300
2000 500
2000 750
2000 1000
2000 1500
3000 100
3000 170
3000 300
3000 500
3000 750
3000 1000
3000 1500
3000 2000
3000 2500
5000 100
5000 200
5000 300
5000 500
5000 1000
5000 2000
5000 3000
5000 4000
6000 100
6000 200
6000 300
6000 500
6000 1000
6000 2000
6000 3000
6000 4000
6000 5000
