# comment out any masses you don't want with #
#XMass SMass
170 30
180 50
185 30
190 15
190 50
200 30
200 70
205 30
205 50
210 15
210 70
220 90
230 15
230 90
230 100
240 100
240 110
245 30
245 50
245 70
245 90
250 15
250 100
250 110
270 100
300 30
300 70
300 100
300 110
300 170
350 170
400 30
400 70
400 100
400 110
400 170
400 200
400 250
500 30
500 70
500 100
500 110
500 170
500 200
500 240
500 300
600 30
600 70
600 100
600 110
600 170
600 200
600 300
600 400
750 30
750 70
750 100
750 110
750 170
750 200
750 240
750 280
750 300
750 400
750 500
750 550
1000 30
1000 70
1000 100
1000 110
1000 170
1000 200
1000 240
1000 250
1000 300
1000 400
1000 500
1000 550
1000 750
1250 200
1250 300
1250 400
1250 500
1500 70
1500 100
1500 170
1500 200
1500 240
1500 250
1500 300
1500 400
1500 500
1500 550
1500 750
1500 1000
2000 70
2000 100
2000 170
2000 200
2000 240
2000 250
2000 300
2000 400
2000 500
2000 550
2000 750
2000 1000
2000 1500
2500 70
2500 100
2500 170
2500 200
2500 240 
2500 250
2500 300
2500 400
2500 500
2500 550
2500 750
2500 1000
2500 1500
2500 2000
3000 70
3000 100
3000 170
3000 200
3000 240 
3000 250
3000 300
3000 400
3000 500
3000 550
3000 750
3000 1000
3000 1500
3000 2000
3000 2500
4000 100
4000 200
4000 300
4000 500
4000 1000
4000 2000
4000 3000
5000 100
5000 200
5000 300
5000 500
5000 1000
5000 2000
5000 3000
5000 4000
6000 100
6000 200
6000 300
6000 500
6000 1000
6000 2000
6000 3000
6000 4000
6000 5000
